date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:29	109/109	---MCZ	200	added ('OK')	text/plain	etag:%22658-1745104269;gz%22	https://naudummy.com/robots.txt		(from )
19:45:29	233545/233545	---MCZ	200	added ('OK')	text/html	etag:%22648-1745082393;gz%22	https://naudummy.com/muezzin/	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/index.html	(from )
19:45:30	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%22e283-652138be-d33c10229cd67853;gz%22	https://naudummy.com/muezzin/wp-content/plugins/ingeniofy/css/animate.min.css?ver=6.7.2	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/plugins/ingeniofy/css/animate.mind1c0.css	(from https://naudummy.com/muezzin/)
19:45:30	4197/4197	---M-Z	200	added ('OK')	text/css	etag:%221065-65214d9c-39646fa6304f8be5;gz%22	https://naudummy.com/muezzin/wp-content/plugins/ingeniofy/css/owl.carousel.min.css?ver=6.7.2	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/plugins/ingeniofy/css/owl.carousel.mind1c0.css	(from https://naudummy.com/muezzin/)
19:45:30	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-6803b6f1-2fc827c6a1c4da52;gz%22	https://naudummy.com/muezzin/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://naudummy.com/muezzin/)
19:45:31	274493/274493	---M-Z	200	added ('OK')	text/css	etag:%224303d-67c254ea-5131628c4d847f0f;gz%22	https://naudummy.com/muezzin/wp-content/plugins/events-manager/includes/css/events-manager.min.css?ver=6.6.4.4	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/plugins/events-manager/includes/css/events-manager.min8b28.css	(from https://naudummy.com/muezzin/)
19:45:31	34259/34259	---M-Z	200	added ('OK')	text/css	etag:%2285d3-67e8071a-2c9c42cd36b15fdc;gz%22	https://naudummy.com/muezzin/wp-content/plugins/charitable/assets/css/charitable.min.css?ver=1.8.4.8	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/plugins/charitable/assets/css/charitable.mine964.css	(from https://naudummy.com/muezzin/)
19:45:31	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-67c1cbf6-cddd3ccb2776c9a8;gz%22	https://naudummy.com/muezzin/wp-includes/css/dashicons.min.css?ver=6.7.2	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-includes/css/dashicons.mind1c0.css	(from https://naudummy.com/muezzin/)
19:45:31	232855/232855	---M-Z	200	added ('OK')	text/css	etag:%2238d97-64d71c02-286afdcdecd0af0b;gz%22	https://naudummy.com/muezzin/wp-content/themes/taqwa/assets/css/bootstrap.css?ver=6.7.2	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/themes/taqwa/assets/css/bootstrapd1c0.css	(from https://naudummy.com/muezzin/)
19:45:32	79454/79454	---M-Z	200	added ('OK')	text/css	etag:%221365e-6213904c-d42908f90947928c;gz%22	https://naudummy.com/muezzin/wp-content/themes/taqwa/assets/css/webfonts.css?ver=6.7.2	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/themes/taqwa/assets/css/webfontsd1c0.css	(from https://naudummy.com/muezzin/)
19:45:32	1767/1767	---M-Z	200	added ('OK')	text/css	etag:%226e7-6213904c-9e216f4a3a16a818;gz%22	https://naudummy.com/muezzin/wp-content/themes/taqwa/assets/css/themecss/wp-developer.css?ver=6.7.2	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/themes/taqwa/assets/css/themecss/wp-developerd1c0.css	(from https://naudummy.com/muezzin/)
19:45:32	13774/13774	---M-Z	200	added ('OK')	text/css	etag:%2235ce-6213904c-1d7f6515d60cbc07;gz%22	https://naudummy.com/muezzin/wp-content/themes/taqwa/assets/css/themecss/fancybox.min.css?ver=6.7.2	C:/xampp/htdocs/Islamic%20website%202/naudummy.com/muezzin/wp-content/themes/taqwa/assets/css/themecss/fancybox.mind1c0.css	(from https://naudummy.com/muezzin/)
